Timestamp,Label
2024-05-08 10:36:12.259845,Excellent
2024-05-08 10:36:49.795929,Acceptable
2024-05-08 10:36:51.557874,Excellent
2024-05-08 10:37:28.141993,Acceptable
2024-05-08 10:37:30.063127,So and So
2024-05-08 10:37:33.559808,Acceptable
2024-05-08 10:37:35.619106,Excellent
2024-05-08 10:38:13.096403,Acceptable
2024-05-08 10:38:14.118308,Excellent
2024-05-08 10:38:24.486546,Acceptable
2024-05-08 10:38:25.571600,Excellent
2024-05-08 10:38:41.023909,Acceptable
2024-05-08 10:38:47.616673,Excellent
2024-05-08 10:38:53.365406,Acceptable
2024-05-08 10:39:13.296731,Excellent
2024-05-08 10:39:22.450131,Acceptable
2024-05-08 10:39:47.926381,Excellent
2024-05-08 10:40:01.283831,Acceptable
2024-05-08 10:40:16.656590,Excellent
2024-05-08 10:40:17.675172,Acceptable
2024-05-08 10:40:19.604678,So and So
2024-05-08 10:40:27.182841,Acceptable
2024-05-08 10:40:31.216672,So and So
2024-05-08 10:40:43.469952,Acceptable
2024-05-08 10:41:00.018062,So and So
2024-05-08 10:41:02.118262,Uncomfortable
2024-05-08 10:41:06.591034,So and So
2024-05-08 10:41:08.281693,Acceptable
2024-05-08 10:41:17.274406,Excellent
2024-05-08 10:41:35.171463,Acceptable
2024-05-08 10:41:46.027486,Excellent
2024-05-08 10:41:56.706920,Acceptable
2024-05-08 10:41:59.975930,So and So
2024-05-08 10:42:01.179401,Uncomfortable
2024-05-08 10:42:08.144520,So and So
2024-05-08 10:42:10.870672,Uncomfortable
2024-05-08 10:42:19.838857,Acceptable
2024-05-08 10:42:22.333814,So and So
2024-05-08 10:42:28.881755,Uncomfortable
2024-05-08 10:42:37.418327,So and So
2024-05-08 10:42:39.535044,Acceptable
2024-05-08 10:42:47.200143,Uncomfortable
2024-05-08 10:42:58.505177,So and So
2024-05-08 10:43:05.672061,Acceptable
2024-05-08 10:43:22.792038,So and So
2024-05-08 10:43:30.810756,Acceptable
2024-05-08 10:43:46.012610,Excellent
2024-05-08 10:47:49.851557,Excellent
2024-05-08 10:47:56.818206,Excellent
2024-05-08 10:49:37.611424,Acceptable
2024-05-08 10:49:38.691412,So and So
2024-05-08 10:49:42.422466,Acceptable
2024-05-08 10:49:45.100949,Excellent
2024-05-08 10:50:20.879262,Acceptable
2024-05-08 10:50:22.046428,So and So
2024-05-08 10:50:25.115915,Acceptable
2024-05-08 10:50:37.561610,So and So
2024-05-08 10:50:45.868335,Acceptable
2024-05-08 10:50:47.608448,So and So
2024-05-08 10:50:49.282208,Uncomfortable
2024-05-08 10:50:50.697720,So and So
2024-05-08 10:50:52.361213,Acceptable
2024-05-08 10:51:02.748529,So and So
2024-05-08 10:51:04.627488,Acceptable
2024-05-08 10:51:09.487310,So and So
2024-05-08 10:51:17.607894,Acceptable
2024-05-08 10:51:19.823241,So and So
2024-05-08 10:51:21.136453,Uncomfortable
2024-05-08 10:51:30.216835,So and So
2024-05-08 10:51:46.916060,Acceptable
2024-05-08 10:51:47.957446,Excellent
2024-05-08 10:52:19.905420,Acceptable
2024-05-08 10:52:28.555604,Excellent
2024-05-08 10:52:33.186172,So and So
2024-05-08 10:52:40.894940,Acceptable
2024-05-08 10:52:53.188399,Excellent
2024-05-08 10:53:05.740115,Acceptable
2024-05-08 10:53:10.208568,Excellent
2024-05-08 10:53:17.142820,Acceptable
2024-05-08 10:53:18.770719,Excellent
2024-05-08 10:53:56.731174,Acceptable
2024-05-08 10:54:59.486409,Excellent
2024-05-08 10:55:04.894315,Acceptable
2024-05-08 10:55:09.606284,Excellent
2024-05-08 10:55:23.190672,So and So
2024-05-08 10:55:27.671984,Excellent
2024-05-08 10:55:37.855831,So and So
2024-05-08 10:55:43.332469,Acceptable
2024-05-08 10:55:51.478351,Excellent
2024-05-08 10:56:51.628920,Acceptable
2024-05-08 10:56:53.711443,Excellent
2024-05-08 10:56:55.495503,Excellent
2024-05-08 10:56:58.062490,Uncomfortable
2024-05-08 10:56:59.852062,Excellent
